EcoRestore_approximate_location,Reach,Latitude,Longitude,Date,Time_of_Day,sm_boat,med_boat,lrg_boat,bank_angler,scientist,cars,notes
Decker Island,Brannan to Decker Island,38.105872,-121.70638,7/7/22,unknown,0,2,0,1,0,0,no notes
Decker Island,Decker Island to Rio Vista,38.105872,-121.70638,7/7/22,unknown,0,4,0,3,0,0,no notes
Decker Island,Decker Island,38.084557,-121.720411,7/7/22,unknown,0,0,0,0,0,0,Nobody or traces on Decker
Decker Island,Decker Island (horseshoe bend),38.084557,-121.720411,9/13/22,unknown,0,1,0,0,0,0,1 trail
Decker Island,Brannan to Decker Island,38.105872,-121.70638,11/7/22,unknown,2,10,1,0,0,0,no notes
Decker Island,Decker Island to Rio Vista,38.105872,-121.70638,11/7/22,unknown,0,0,0,0,0,0,no notes
Decker Island,Decker Island,38.084557,-121.720411,11/7/22,unknown,0,0,0,0,0,0,1 caretaker in car from DI aggregate; lotsof fishermen and one barge
Decker Island,Brannan to Decker Island,38.105872,-121.70638,12/8/22,morning,7,1,0,0,0,0,no notes
Decker Island,Decker Island to Rio Vista,38.105872,-121.70638,12/8/22,morning,1,2,0,2,0,0,no notes
Decker Island,Decker Island,38.084557,-121.720411,12/8/22,morning,0,0,0,0,0,0,n/a
SW Suisun Marsh,Nurse Slough,38.192684,-121.912312,8/8/22,morning,0,1,0,0,0,0,no notes
SW Suisun Marsh,Montezuma,38.135461,-121.91337,8/8/22,morning,0,6,0,5,0,0,no notes
Grizzly Bay,Grizzly Bay,38.11572,-122.030558,8/8/22,morning,0,1,0,0,0,0,no notes
Grizzly Bay,Pittsburgh to Grizzly Bay,38.061702,-121.972139,9/11/22,unknown,0,2,1,0,0,0,1 duck blind
Grizzly Bay,Grizzly Bay to Winters Island,38.049536,-121.880422,9/11/22,unknown,0,8,4,0,0,0,no notes
Grizzly Bay,Grizzly bay and Broad Slough,38.053097,-121.842422,10/15/22,unknown,1,19,3,0,0,0,no notes
Grizzly Bay,Grizzly Bay,38.11572,-122.030558,10/15/22,unknown,0,0,0,0,0,0,5 duck blinds
Grizzly Bay,Pittsburgh Marina,38.041532,-121.885449,10/15/22,unknown,0,0,0,9,0,0,no notes
Grizzly Bay,Pittsburgh to Grizzly Bay,38.061702,-121.972139,11/2/22,morning,0,3,9,2,0,0,6 duck blinds
Grizzly Bay,Grizzly Bay to Browns Island,38.049851,-121.876514,11/2/22,morning,1,17,1,0,0,0,no notes
Grizzly Bay,Pittsburgh to Grizzly Bay,38.061702,-121.972139,12/5/22,morning,1,9,0,2,2,0,"1 hunter, 1 crane"
Grizzly Bay,Grizzly Bay to Browns Island,38.049851,-121.876514,12/5/22,morning,2,7,0,7,0,0,no notes
Prospect,Rio Vista and Miner Slough,38.213087,-121.667419,7/7/22,unknown,2,2,0,2,0,0,levee maintenance
Prospect,Prospect,38.257061,-121.652555,7/7/22,unknown,0,0,0,0,0,0,nobody at prospect
Prospect,Rio Vista and Miner Slough,38.213087,-121.667419,9/4/22,unknown,5,15,1,0,0,0,no notes
Prospect,Rio Vista and Miner Slough,38.213087,-121.667419,10/16/22,morning,0,19,1,3,0,0,no notes
Prospect,Upper Miner Slough to Rio Vista,38.234527,-121.666216,10/16/22,morning,5,45,2,3,0,0,Lots of boats probably due to salmon season. Most boats observed 1 mile upstream of hwy 12 bridge
Prospect,Rio Vista and Miner Slough,38.213087,-121.667419,11/7/22,morning,1,3,0,2,2,0,1 camper
Prospect,Miner Slough to Rio Vista,38.234527,-121.666216,11/7/22,morning,1,6,0,2,0,0,1 camper; 1 couple letting dogs play in water
SJ River,Broad Slough,38.053097,-121.842422,8/9/22,unknown,0,5,0,0,0,0,no notes
SJ River,Lauritzens harbor,38.019754,-121.747058,8/9/22,unknown,0,0,0,7,0,0,no notes
Wildlands,Rio Vista to Wildlands,38.316412,-121.693077,12/12/22,morning,0,2,0,0,2,0,no notes
SW Suisun Marsh,Montezuma Slough,38.135461,-121.91337,10/19/22,unknown,0,2,0,2,0,0,no notes
SW Suisun Marsh,Lower Suisun Slough,38.156238,-122.06207,10/19/22,unknown,2,2,0,0,0,0,1 medium boat is SRCD
North Delta,Cache Slough,38.184603,-121.661433,10/24/22,unknown,1,1,0,0,0,12,no notes
North Delta,Lindsey Slough,38.24982,-121.713117,10/24/22,unknown,0,2,0,0,0,10,goats and cows grazing
North Delta,Shag Slough,38.313391,-121.692694,10/24/22,unknown,0,2,0,3,0,18,2 large barges; levee maintenance; 1 instance of dumping
North Delta,Stair Step,38.329067,-121.676218,10/24/22,unknown,0,0,0,0,0,0,no notes
North Delta,Baby Marsh,38.3355,-121.671346,10/24/22,unknown,0,0,0,0,0,0,no notes
North Delta,Prospect Slough,38.350547,-121.644524,10/24/22,unknown,0,2,0,0,0,0,no notes
North Delta,Lindsey Slough,38.24982,-121.713117,11/16/22,unknown,0,1,0,0,0,3,1 ATV (Cattle Grazer); all day rain - often windy
North Delta,lower Cache Slough,38.184603,-121.661433,1/17/23,unknown,0,1,0,0,0,0,no notes
North Delta,Lower Lindsey Slough,38.24982,-121.713117,1/17/23,unknown,0,0,0,1,0,8,no notes
North Delta,Barker Slough,38.260523,-121.775254,1/17/23,unknown,0,0,0,0,0,1,no notes
North Delta,Calhoun Cut,38.258672,-121.803024,1/17/23,unknown,0,0,0,0,0,0,"No People, Overcast and drizzles"
North Delta,Calhoun Cut,38.258672,-121.803024,2/24/23,unknown,0,0,0,0,0,0,1 ATV
North Delta,Barker Slough,38.260523,-121.775254,2/24/23,unknown,0,0,0,0,0,0,1 ATV
North Delta,Lower Cache Slough,38.184603,-121.661433,2/24/23,unknown,0,0,0,0,1,0,1 USGS
Honker Bay/Chipps Island,Lower Sacramento (Brannan Island),38.109048,-121.708086,12/1/22,unknown,35,4,1,0,0,0,no notes
Honker Bay/Chipps Island,Honker Bay,38.075029,-121.927718,12/1/22,unknown,0,1,1,0,1,0,1 fires and 2 instances of dumping
Twitchell Island,levee,38.096002,-121.674498,3/13/23,morning,0,5,0,0,0,4,"1 CDFW trawler, 4 RD trucks, 1 PG&E truck, 1 car"
Twitchell Island,Twitchell Island Habitat Enhancement Site,38.100665,-121.641457,3/13/23,morning,0,0,0,0,1,0,Himself
Twitchell Island,Twitchell Habitat Setback Levee,38.096002,-121.674498,3/13/23,morning,0,0,0,0,2,0,no notes
Sherman Island,Truck Whales Mouth Scour Pond Habitat Enhancement Project,38.034339,-121.761946,3/13/23,unknown,0,0,0,0,0,2,1 RD; 1 PG&E
Sherman Island,Sherman Habitat Setback Levee,38.035739,-121.776074,3/13/23,unknown,0,0,0,0,0,1,Same PG&E truck as above